index,iso3,start_year,end_year,baseline_lays,delta_lays,baseline_lays_male,delta_lays_male,baseline_lays_female,delta_lays_female,baseline_pcr_modelled_pct,delta_pcr_modelled_pct,baseline_pcr_pct,delta_pcr_pct,baseline_pcr_wpia,delta_pcr_wpia,baseline_general_public_services_pct,delta_general_public_services_pct,baseline_defense_pct,delta_defense_pct,baseline_public_order_safety_pct,delta_public_order_safety_pct,baseline_economic_affairs_pct,delta_economic_affairs_pct,baseline_environmental_protection_pct,delta_environmental_protection_pct,baseline_housing_community_amenities_pct,delta_housing_community_amenities_pct,baseline_health_pct,delta_health_pct,baseline_recreation_culture_religion_pct,delta_recreation_culture_religion_pct,baseline_education_pct,delta_education_pct,baseline_social_protection_pct,delta_social_protection_pct,baseline_sector_sum_pct,delta_sector_sum_pct,baseline_education_nec_pct,delta_education_nec_pct,baseline_education_not_definable_by_level_pct,delta_education_not_definable_by_level_pct,baseline_education_total_pct,delta_education_total_pct,baseline_post_secondary_non_tertiary_pct,delta_post_secondary_non_tertiary_pct,baseline_ecd_and_primary_pct,delta_ecd_and_primary_pct,baseline_education_rnd_pct,delta_education_rnd_pct,baseline_secondary_pct,delta_secondary_pct,baseline_education_subsidiary_services_pct,delta_education_subsidiary_services_pct,baseline_tertiary_pct,delta_tertiary_pct,baseline_all_staff_pcttotal,delta_all_staff_pcttotal,baseline_capex_pcttotal,delta_capex_pcttotal,baseline_currex_pcttotal,delta_currex_pcttotal,baseline_expenditure_pctbudget_imf,delta_expenditure_pctbudget_imf,baseline_expenditure_pctbudget_uis,delta_expenditure_pctbudget_uis,baseline_expenditure_pctgdp,delta_expenditure_pctgdp,baseline_expenditure_perchild_ppp,delta_expenditure_perchild_ppp,baseline_lang_match_pct,delta_lang_match_pct,baseline_teaching_staff_pcttotal,delta_teaching_staff_pcttotal,baseline_fsi_total,delta_fsi_total,baseline_sap,delta_sap,baseline_pop_total,delta_pop_total,baseline_sap_share,delta_sap_share,baseline_hh_exp_pct,delta_hh_exp_pct,baseline_private_enrolment_pct,delta_private_enrolment_pct,baseline_debt_pct_gdp,delta_debt_pct_gdp,baseline_gdp_growth_pct,delta_gdp_growth_pct,baseline_gdppc_2015_usd,delta_gdppc_2015_usd,baseline_inflation_pct,delta_inflation_pct,baseline_lang_frac,delta_lang_frac,income_group,panel
10,BWA,2010,2017,5.1151628,0.022833885714285733,4.709,0.025857142857142863,5.5213256,0.0198106285714286,90.27999877929688,0.9542857578822544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2355052847334032,-0.0010489508297371727,,,,,,,,,,,301621.0,6827.428571428572,2033111.0,33376.57142857143,0.1483544184257524,0.000827558932733686,,,,,21.8862970525723,-1.029361125114,10.119723322694,-0.8579063940347386,5584.5034321846,154.01043083858153,6.94887658743103,-0.5200851171069771,0.41,0.0,Upper middle income,1
11,CAN,2010,2017,11.427763,0.04460528571428541,11.372249,0.04682157142857132,11.483277,0.04238900000000001,99.75,0.01142883300781047,99.76,,0.9929999709129332,,0.1653806300844374,-0.0030588836644771166,0.0239265793841512,-0.000196147054696386,0.0465634477958382,-2.4230848430385555e-05,0.0806581147858512,-0.0009949475279175152,0.018463810930576,6.780504137844298e-05,0.0131978848110156,9.592881337401431e-05,0.2188839512082969,0.0008163690495844708,0.0232998333926484,6.316520660782851e-05,0.1262090056155181,0.00045651794256307276,0.2834167419916665,0.002774423042013601,1.0,0.0,0.6447233798318069,-0.001198604846443693,0.0,0.0,1.0,0.0,0.1230005240436204,0.00025798342489908547,,,,,,,,,0.2322760961245726,0.0009406214215446153,0.6583621215820312,0.002880096435546875,0.0971170043945312,-0.0009893294743129155,0.9028829956054688,0.000989325387137252,0.1262090056,0.0004565179428571431,0.1233596038818359,-0.00023602894374301353,0.0535637998580932,-0.0005662856783185717,,,,,0.4781892013549804,0.0024538694109235626,,,2186953.0,30066.285714285714,34005902.0,362739.0,0.0643109834287001,0.00018438008121045686,0.7904344201087952,-0.01287306206566947,6.123280048370361,0.01452568599155971,53.1497329605545,0.18754746062281363,3.09080634469335,-0.008138776098732845,41164.3399119626,453.5783938518289,1.77687154092627,-0.025712487485214312,0.58,0.0,High income,1
12,CHE,2010,2017,11.223613,-0.012658999999999818,11.207348,-0.009621142857142726,11.239878,-0.01569685714285691,99.72000122070312,0.0,99.2,0.007142857142856737,,,0.1428838383583519,-0.0003701981649245266,0.025329823524001,-0.00014354316445252844,0.0462063480952997,0.0003093384356460998,0.1294066199565784,-0.0016348788149645724,0.0190448534960402,-0.0001419825452596998,0.0059412766509404,-3.933337673132858e-05,0.0578757511962085,0.0009900633526259436,0.0317441632912202,-3.399485295832846e-05,0.1517560739071607,0.00026252481879145736,0.3898112515241985,0.0008020043122275286,1.0,0.0,0.0173441255988041,-0.00012058119111849956,0.194607657597599,0.0019606644317280036,1.0,0.0,0.0,0.0,0.1865484586388585,0.0018716986977827135,0.0118688944791892,-4.4174794174485846e-05,0.3427291178501365,-0.006830062769940438,0.0080370718039963,0.0013239571104235717,0.2388646740314162,0.0018384985152991268,0.7519174194335938,,0.0860457038879394,,0.9139543151855468,,0.1517560739,0.00026252481428571235,0.1528763961791992,0.0002477291652134561,0.0480210018157959,0.00030792849404470094,17433.619140625,483.244140625,,,0.5858121871948242,,,,476346.0,3171.4285714285716,7824909.0,89561.57142857143,0.0608755961251434,-0.00026984484788997176,,,4.575560092926025,0.1286099978855678,20.9935662166253,-0.10130776875441429,3.24339715656356,-0.2686567859535672,81315.4228307049,521.737974159642,0.688238707220026,-0.022064409627732724,0.54,0.0,High income,1
13,CHL,2010,2017,9.0222975,0.07895749999999982,8.950846,0.08416485714285697,9.093749,0.07375014285714267,98.3000030517578,-0.09857177734374797,,,,,0.0752474317904186,0.0005719966239738143,0.0586214071221954,-0.0033710450193082425,0.0705789328012013,-0.00016908228852525624,0.1399255674921859,-0.002276102357512272,0.0034279874747267,4.105809346549998e-05,0.0146175187871127,-8.342359886628556e-05,0.1651548046010241,0.004866308079007857,0.0084978344637823,-1.77471655566428e-05,0.1788603069775761,0.005205600445139529,0.2862089669646205,-0.004876123921847061,1.001140758474844,-0.00010856111002907223,0.0,0.0013657018051925,0.0,0.0004483619502156857,1.0,0.0,0.0,0.0,0.0,0.10412861525812193,0.0,0.0,0.0,0.0,0.0,0.0151367542904988,0.1155745596140083,0.005267058179684129,,,,,,,0.178860307,0.0052056004428571445,0.1785330963134766,0.004939899444580069,0.0418953990936279,0.0017760712759835437,3952.406005859375,255.62928989955358,,,,,,,1498307.0,-629.2857142857143,17181464.0,196772.0,0.0872048505296172,-0.0009585045037606571,2.427783966064453,-0.012248413903372566,58.02954864501953,0.6841817583356585,,,5.85165102224047,-0.6419936641144144,11649.2897090856,260.5794491725428,1.41071107954321,0.11028676987742572,0.19,0.0,High income,1
14,CIV,2010,2017,3.0226817500000003,0.16961689285714282,3.392501,0.16249985714285714,2.6528625,0.1767339285714286,39.45999908447266,2.7457144601004453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7122828674316406,0.015039247785295766,0.0698082017898559,-0.0007364572797502725,0.9301918029785156,0.0007364545549665147,,,0.2277275085449219,-0.0030560738699777013,0.0324651002883911,0.0007000429289681573,,,,,0.5625506973266602,0.013998996189662383,,,3768271.0,72610.71428571429,22488065.0,606472.4285714285,0.1675675964116966,-0.001085325594540201,1.62582802772522,,,,,,6.84804939907013,0.08038757526498712,1540.52927270246,61.75500645528713,1.2264561213548,-0.077225008007171,0.78,0.0,Lower middle income,1
15,CMR,2010,2017,5.45076655,0.006319064285714303,5.7859435,-0.013706214285714249,5.1155896,0.026344342857142853,69.36000061035156,0.6571426391601562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8016844177246094,,0.1335706043243408,,0.8664293670654297,,,,0.187538890838623,-0.004058683940342486,0.028480200767517,0.0003022854668753572,259.3363647460938,,,,0.6543273162841797,,,,3155846.0,110642.28571428571,19668066.0,637219.2857142857,0.1604553289581192,0.0003480125352705706,0.678223729133606,,22.53598022460938,-0.001587186540877131,,,2.89902472122014,0.09173597543427572,1290.9013745759,22.00077922711856,1.27538046242338,-0.09071018750591857,0.89,0.0,Lower middle income,1
16,COG,2010,2017,5.593246000000001,-0.05403514285714296,5.7018414,-0.08169162857142862,5.4846506,-0.02637865714285719,69.01000213623047,2.2357145036969865,,,,,0.256546313480682,,0.0704068247958495,,0.0428694809355492,,0.25985490129914,,0.0016370674793318,,0.164843934536865,,0.0620519855997975,,0.0269813480487598,,0.105409988189641,,0.0093967145461447,,0.9999985589117608,,0.0,,0.0,,1.0,,0.0,,0.3887891430617897,,0.0,,0.4030818051587385,,0.0,,0.2081252681728321,,,,,,,,0.1054099882,,0.2472777938842773,-0.012917156219482417,0.056867299079895,-0.002163385663713729,1062.788696289063,,,,,,,,646734.0,30204.428571428572,4462290.0,126960.14285714286,0.1449332069408308,0.0022058799567926113,,,35.75088882446289,,25.4826844740907,,9.93126543095578,-2.2180055928730353,2332.28508055953,-47.00198140109426,0.391525011227612,0.008362687436847713,0.69,0.0,Lower middle income,1
17,COL,2010,2017,8.2355315,0.03206692857142863,8.334915,0.00929785714285712,8.136148,0.054835999999999885,90.6500015258789,0.30571419852120535,90.59966278076172,0.35719103131975366,0.8034999966621399,0.011728571905408594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0483382987976074,-0.0004261711665562281,,,,,,,,,4088415.0,-35389.71428571428,44777319.0,479108.4285714286,0.0913054888346486,-0.0016441548132628428,3.054924011230469,-0.14629742077418748,18.36821937561035,0.19064876011439683,72.4526699261111,-0.8179174403348851,4.49465897070922,-0.4478997289745371,5214.24547620131,156.4902823891242,2.27200227892008,0.2917587111471472,0.02,0.0,Upper middle income,1
18,CRI,2010,2017,8.4552835,0.017102357142857016,8.420094,0.017129428571428358,8.490473,0.017075285714285675,91.86000061035156,0.6885713849748883,91.3,0.6857142857142853,0.8835999999999999,0.006000000000000005,0.0282705213752861,0.02121945749717797,0.0,0.0,0.0082363372749112,0.015931326530213598,0.2152259782834704,-0.014939358617200872,0.0157348164534505,-0.0014259609166312574,0.0039210487428096,-0.0003015573139998286,0.0217028351526411,0.0031440580542732998,0.0187153180265548,-0.0013859124047369716,0.3067587787856163,0.0047002967556675134,0.4746398139481731,-0.04025741359089401,1.0932054480429136,-0.0133150640061306,0.0,0.010454931051879257,0.0,0.018119172262856444,1.0,0.0,0.0,0.001264646264416957,0.0,0.0,0.0,0.0,0.0031958706659319,-0.0004565529522759857,0.0,0.0,0.996804129334068,-0.03347424977680735,,,,,,,0.347271349,-0.0137738245857143,0.2288088989257813,0.010386472429547985,0.0656575012207031,0.000720099721636086,4855.4677734375,48.99232700892857,,,,,,,473598.0,-2270.4285714285716,4555962.0,51030.71428571428,0.1039512621044688,-0.0015417998837658705,2.710810899734497,0.004671164921351841,8.102629661560059,0.1372714723859517,,,5.36034352634111,-0.17180636622574422,10285.0856660419,311.92568387557156,5.66275708420021,-0.57669287918327,0.05,0.0,High income,1
19,CYP,2010,2017,9.812151,0.15040699999999976,9.54743,0.18893857142857126,10.076872,0.11187542857142851,98.87000274658205,0.002856663295198863,98.42,-0.02000000000000008,,,0.1853665296318537,0.0007542115791481825,0.0489168090904891,0.0006081432581644715,0.0483509630929835,-0.0008941841994464854,0.0813432491108134,-0.002610862925756386,0.0265601182502655,-0.0018368051362236998,0.0567693657905676,-0.002487582240931543,0.0664580350131645,-0.00024884670388087123,0.0256478359277564,-0.0004812171470425716,0.1454686128689547,-0.0013158171258930151,0.3151184812231511,0.008512960641861942,1.0,0.0,0.0089703897753433,0.00021945383268345706,0.0862110026196713,-0.0010588218698163573,1.0,0.0,0.0017464475668809,-4.8474015853000015e-05,0.3134873382551401,-0.001685540415435465,0.0063507184250218,-0.0009072454892888285,0.3462729221243153,0.0009612791497560542,0.0558069381598793,0.0028155727581839437,0.1811542430737476,-0.00029622395022984346,0.7750634765625,0.0037871224539620663,0.1096290969848633,-0.004639885084969671,0.8903708648681641,0.0046398925781249946,0.1552406186,-0.0015866723714285697,0.1564949035644531,-0.0011715439387730128,0.0652559995651245,-0.0011799716949462999,14134.439453125,-149.48981584821402,,,0.6877986145019531,0.004803074428013389,,,53930.0,324.14285714285717,1127816.0,18065.571428571428,0.0478180838009036,-0.0004303028852044142,1.734117984771729,0.03456871850149972,7.623250007629395,0.18681280953543514,,,2.28267100119788,0.4954516234781957,26090.048828125,-60.577845982142854,2.43004084102254,-0.2711820492640104,0.4,0.0,High income,1
