iso3,year,general_public_services_pct,defense_pct,public_order_safety_pct,economic_affairs_pct,environmental_protection_pct,housing_community_amenities_pct,health_pct,recreation_culture_religion_pct,education_pct,social_protection_pct,sector_sum_pct
AFG,2003,0.157028520457887,0.196135303765077,0.176660555835287,0.237242335735572,0.0,0.006726601607256421,0.0396441801163765,0.016657011085335502,0.128061805368063,0.0183380549251613,0.9764943688960156
AFG,2004,0.070504291118962,0.127300023420058,0.180165178675502,0.377391093610799,0.0,0.0190035042309089,0.0498816043789973,0.014299731883558799,0.12946658653466,0.0319879861465546,1.0000000000000007
AFG,2005,0.10478229668554301,0.113602194236762,0.162787473594659,0.361238253510891,0.00197452050026568,0.0077873188181270805,0.042357985778084,0.0131993066216804,0.150835783279549,0.041434866974438496,0.9999999999999999
AFG,2006,0.109662312663437,0.0684630832558248,0.0971345044339749,0.465880039094788,0.0166911454846346,0.0161546347510791,0.0431095810530298,0.00972549272786926,0.145592117941593,0.0275876155756912,1.0000005269819217
AFG,2007,0.108209650456363,0.0773539335967631,0.0905331624207382,0.471101282966548,0.0036839547084783295,0.0320131998133724,0.0615589888485298,0.0122324399739208,0.108146920706438,0.035166466508845605,0.9999999999999973
AFG,2008,0.0313503225823767,0.478218668018144,0.236183402214321,0.142715540287994,0.00155303665713179,0.0116316377625054,0.0256499195802473,0.004273362114067,0.0486058590791011,0.0198182517041115,1.0
AFG,2009,0.0651945268257043,0.421706361009489,0.234258449744048,0.143832480052546,0.00302205078482242,0.0156872166647425,0.0299976620035497,0.00502628677819409,0.0649249018389726,0.016350093191469,1.0000000288935376
AFG,2010,0.0610551240345088,0.325085926672591,0.263746433497822,0.178422826624462,0.0013535278208668899,0.00743801612919448,0.0304431778828851,0.00457875592573258,0.0639557980576893,0.0639204133542459,0.999999999999998
AFG,2011,0.0639992579830307,0.38624766314771697,0.259549579068444,0.163221328596051,0.00380190783911167,0.00721719583846175,0.038774832424950396,0.00438365768618009,0.0514692144999987,0.021335362916053698,0.999999999999999
AFG,2012,0.07904415546765729,0.40396978408365797,0.21160031314141,0.16765038029905502,0.00408603790817356,0.008002849411289979,0.0324378014947284,0.005004002545507011,0.0648944774239507,0.0233101982245687,0.9999999999999986
AFG,2013,0.0464059578767446,0.465546897080793,0.21771577771497,0.142485296294801,0.00450150802950162,0.00543220500666209,0.0273507253711256,0.00450356865318098,0.07132067481191369,0.014737346283360899,0.9999999571230536
AFG,2014,0.0547729125866935,0.417984957954042,0.21058130056791602,0.148772127536461,0.00314221019249529,0.0036979750438341902,0.0353929806239456,0.00405761355824917,0.0796457023998253,0.0419522195365377,0.9999999999999997
AFG,2015,0.05060319108312,0.46116423306957105,0.229329579183658,0.121715957260998,0.0016531831269788,0.00520694510422267,0.0272108057033441,0.00391425852258695,0.0728490510882091,0.0263527958573105,0.9999999999999994
AFG,2016,0.06790749032686551,0.37303500106905196,0.18718565867082698,0.159318979928737,0.00269838780622273,0.027389776635244098,0.0392739628011947,0.00597086047432034,0.0826023620713397,0.0546175202161988,1.0000000000000018
AFG,2017,0.058060764424911204,0.363148656369255,0.195817940752558,0.19131301159142702,0.0038431965210687204,0.013453554229569899,0.0446452404191074,0.00662744507050414,0.08202472062544461,0.041065469996156796,1.0000000000000029
