iso3,year,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal
ABW,2010,,,,,0.2217678070068359,0.06751090049743652,,,
ABW,2011,0.9451332855224609,,1.0,,0.2175053977966309,0.059146699905395506,,,
ABW,2012,0.9241931915283204,0.0,1.0,,0.2063408088684082,0.063472900390625,6981.643066406249,,0.9241931915283204
ABW,2013,0.9312812805175781,0.0,1.0,,0.21877630233764647,0.06442959785461426,6920.8037109375,,
ABW,2014,0.9390483856201172,0.0,1.0,,0.1961797904968262,0.05851280212402344,6498.40380859375,,
ABW,2015,0.930911865234375,,1.0,,0.2320137977600098,0.05888269901275635,,,0.930911865234375
ABW,2016,0.9304869079589844,,1.0,,0.2185375022888184,0.054913601875305175,,,0.9304869079589844
ABW,2017,,,,,0.18521408495156572,0.044558199612750406,,,
ABW,2018,,,,,0.2012344033946892,0.04548763552436153,,,
ABW,2019,,,,,0.1940142706009356,0.044350368677695734,,,
ABW,2021,,,,,0.1095644296081246,0.03618557556366949,,,
AFG,2010,0.7237825775146485,0.1831858062744141,0.816814193725586,0.06395579806,0.17077129364013668,0.03479449987411499,303.5810546875,,0.6198619079589843
AFG,2011,0.7372170257568359,0.17374910354614262,0.8262509155273438,0.0514692145,0.16048429489135738,0.03462009906768799,307.084716796875,,0.6315681838989258
AFG,2012,0.7406401062011718,0.1507771015167236,0.8492228698730468,0.06489447742,0.103568000793457,0.026042098999023443,242.26260375976557,,0.6342982864379882
AFG,2013,0.7117121887207031,0.1885199928283691,0.8114800262451172,0.07132067481,0.141028003692627,0.0345445990562439,311.9874267578125,,0.6093210983276367
AFG,2014,0.7185527038574219,0.193030891418457,0.8069690704345703,0.07964570239999999,0.1446592998504639,0.03695219993591309,323.8015441894531,,0.6144657135009767
AFG,2015,0.7144709777832031,0.19592670440673832,0.8040733337402344,0.07284905109,0.12508999824523928,0.03255789995193481,281.08447265625,,0.6102597045898438
AFG,2016,,,,0.08260236207,0.16211700439453128,0.04543960094451904,357.8778686523438,,
AFG,2017,,,,0.08202472063,0.1566137981414795,0.043431901931762704,353.5057067871094,,
AGO,2010,,,,0.08341172399999999,0.08684769630432129,0.03421319961547852,,,
AGO,2011,,,,0.08935192201,,,,,
AGO,2012,,,,0.09791394904,0.0837043244524554,0.0308191085718142,,,
AGO,2013,,,,0.09447771504000001,0.08826970611277848,0.044389495129747596,,,
AGO,2014,,,,0.06852259747,,,,,
AGO,2015,,,,0.1210088877,0.08918776535199198,0.03486895803934126,,,
AGO,2016,,,,0.10821701069999999,0.06550974048507172,0.02754936645827247,,,
AGO,2017,,,,0.08760296857,0.06763776862139573,0.02466878811048856,,,
AGO,2018,,,,0.0823010263,0.05777524545665425,0.02183512989462747,,,
AGO,2019,,,,0.1079580947,0.06045355647235148,0.0207306438181603,,,
AGO,2020,,,,,0.05294735722737711,0.02667447336892847,,,
AGO,2021,,,,,0.06919610063027055,0.02297196895132406,,,
AGO,2022,,,,,0.06640472120780773,0.02385358984166333,,,
AGO,2023,,,,,0.07738962509912019,0.0251273663315785,,,
AGO,2024,,,,,0.06369766056031971,,,,
AGO,2025,,,,,0.06524646543748751,,,,
AIA,2011,,,,,,0.03154357383275851,,,
AIA,2012,,,,,,0.03370353025852436,,,
AIA,2013,,,,,0.12042327493563891,0.03383008224902446,,,
AIA,2014,,,,,0.1160092064586532,0.03039221344429111,,,
AIA,2015,,,,,0.1254403384916802,0.02979636913890531,,,
AIA,2016,,,,,0.1197237149643151,0.03140121483095378,,,
AIA,2017,,,,,0.1159026985581959,0.03647183764907426,,,
AIA,2018,,,,,0.09108467654682055,0.032966974489737316,,,
AIA,2019,,,,,0.1111986072965301,0.028129348787825158,,,
AIA,2020,,,,,0.1067566828407773,0.04063554651112799,,,
AIA,2021,,,,,0.1104676370718868,0.03569035735380981,,,
