iso3,year,lang_frac
AUT,2021,0.15
AUT,2022,0.15
AUT,2023,0.15
AUT,2024,0.15
AUT,2025,0.15
BHS,2000,0.19
BHS,2001,0.19
BHS,2002,0.19
BHS,2003,0.19
BHS,2004,0.19
BHS,2005,0.19
BHS,2006,0.19
BHS,2007,0.19
BHS,2008,0.19
BHS,2009,0.19
BHS,2010,0.19
BHS,2011,0.19
BHS,2012,0.19
BHS,2013,0.19
BHS,2014,0.19
BHS,2015,0.19
BHS,2016,0.19
BHS,2017,0.19
BHS,2018,0.19
BHS,2019,0.19
BHS,2020,0.19
BHS,2021,0.19
BHS,2022,0.19
BHS,2023,0.19
BHS,2024,0.19
BHS,2025,0.19
BHR,2000,0.43
BHR,2001,0.43
BHR,2002,0.43
BHR,2003,0.43
BHR,2004,0.43
BHR,2005,0.43
BHR,2006,0.43
BHR,2007,0.43
BHR,2008,0.43
BHR,2009,0.43
BHR,2010,0.43
BHR,2011,0.43
BHR,2012,0.43
BHR,2013,0.43
BHR,2014,0.43
BHR,2015,0.43
BHR,2016,0.43
BHR,2017,0.43
BHR,2018,0.43
BHR,2019,0.43
BHR,2020,0.43
BHR,2021,0.43
BHR,2022,0.43
BHR,2023,0.43
BHR,2024,0.43
BHR,2025,0.43
BGD,2000,0.09
BGD,2001,0.09
BGD,2002,0.09
BGD,2003,0.09
BGD,2004,0.09
BGD,2005,0.09
BGD,2006,0.09
BGD,2007,0.09
BGD,2008,0.09
BGD,2009,0.09
BGD,2010,0.09
BGD,2011,0.09
BGD,2012,0.09
BGD,2013,0.09
BGD,2014,0.09
BGD,2015,0.09
BGD,2016,0.09
BGD,2017,0.09
BGD,2018,0.09
BGD,2019,0.09
BGD,2020,0.09
BGD,2021,0.09
BGD,2022,0.09
BGD,2023,0.09
BGD,2024,0.09
BGD,2025,0.09
ARM,2000,0.13
ARM,2001,0.13
ARM,2002,0.13
ARM,2003,0.13
ARM,2004,0.13
ARM,2005,0.13
ARM,2006,0.13
ARM,2007,0.13
ARM,2008,0.13
ARM,2009,0.13
ARM,2010,0.13
ARM,2011,0.13
ARM,2012,0.13
ARM,2013,0.13
ARM,2014,0.13
ARM,2015,0.13
ARM,2016,0.13
ARM,2017,0.13
ARM,2018,0.13
ARM,2019,0.13
ARM,2020,0.13
ARM,2021,0.13
ARM,2022,0.13
ARM,2023,0.13
ARM,2024,0.13
ARM,2025,0.13
BRB,2000,0.09
BRB,2001,0.09
BRB,2002,0.09
BRB,2003,0.09
BRB,2004,0.09
BRB,2005,0.09
BRB,2006,0.09
BRB,2007,0.09
BRB,2008,0.09
BRB,2009,0.09
BRB,2010,0.09
BRB,2011,0.09
BRB,2012,0.09
BRB,2013,0.09
BRB,2014,0.09
BRB,2015,0.09
BRB,2016,0.09
BRB,2017,0.09
BRB,2018,0.09
BRB,2019,0.09
BRB,2020,0.09
BRB,2021,0.09
BRB,2022,0.09
BRB,2023,0.09
BRB,2024,0.09
BRB,2025,0.09
BEL,2000,0.54
BEL,2001,0.54
BEL,2002,0.54
BEL,2003,0.54
BEL,2004,0.54
BEL,2005,0.54
BEL,2006,0.54
BEL,2007,0.54
BEL,2008,0.54
BEL,2009,0.54
BEL,2010,0.54
BEL,2011,0.54
BEL,2012,0.54
BEL,2013,0.54
BEL,2014,0.54
BEL,2015,0.54
BEL,2016,0.54
BEL,2017,0.54
BEL,2018,0.54
BEL,2019,0.54
BEL,2020,0.54
BEL,2021,0.54
BEL,2022,0.54
BEL,2023,0.54
BEL,2024,0.54
BEL,2025,0.54
BTN,2000,0.61
BTN,2001,0.61
BTN,2002,0.61
BTN,2003,0.61
BTN,2004,0.61
BTN,2005,0.61
BTN,2006,0.61
BTN,2007,0.61
BTN,2008,0.61
BTN,2009,0.61
BTN,2010,0.61
BTN,2011,0.61
BTN,2012,0.61
BTN,2013,0.61
BTN,2014,0.61
BTN,2015,0.61
BTN,2016,0.61
BTN,2017,0.61
BTN,2018,0.61
BTN,2019,0.61
BTN,2020,0.61
BTN,2021,0.61
BTN,2022,0.61
BTN,2023,0.61
BTN,2024,0.61
BTN,2025,0.61
BOL,2000,0.22
BOL,2001,0.22
BOL,2002,0.22
BOL,2003,0.22
BOL,2004,0.22
BOL,2005,0.22
BOL,2006,0.22
BOL,2007,0.22
BOL,2008,0.22
BOL,2009,0.22
BOL,2010,0.22
BOL,2011,0.22
BOL,2012,0.22
BOL,2013,0.22
BOL,2014,0.22
BOL,2015,0.22
BOL,2016,0.22
BOL,2017,0.22
BOL,2018,0.22
BOL,2019,0.22
BOL,2020,0.22
BOL,2021,0.22
BOL,2022,0.22
BOL,2023,0.22
BOL,2024,0.22
BOL,2025,0.22
BIH,2000,0.68
BIH,2001,0.68
BIH,2002,0.68
BIH,2003,0.68
BIH,2004,0.68
BIH,2005,0.68
BIH,2006,0.68
BIH,2007,0.68
BIH,2008,0.68
BIH,2009,0.68
BIH,2010,0.68
BIH,2011,0.68
BIH,2012,0.68
BIH,2013,0.68
BIH,2014,0.68
BIH,2015,0.68
BIH,2016,0.68
BIH,2017,0.68
BIH,2018,0.68
BIH,2019,0.68
BIH,2020,0.68
BIH,2021,0.68
BIH,2022,0.68
BIH,2023,0.68
BIH,2024,0.68
BIH,2025,0.68
BWA,2000,0.41
BWA,2001,0.41
BWA,2002,0.41
BWA,2003,0.41
BWA,2004,0.41
BWA,2005,0.41
BWA,2006,0.41
BWA,2007,0.41
BWA,2008,0.41
BWA,2009,0.41
BWA,2010,0.41
BWA,2011,0.41
BWA,2012,0.41
BWA,2013,0.41
BWA,2014,0.41
BWA,2015,0.41
BWA,2016,0.41
BWA,2017,0.41
BWA,2018,0.41
BWA,2019,0.41
BWA,2020,0.41
BWA,2021,0.41
BWA,2022,0.41
BWA,2023,0.41
BWA,2024,0.41
BWA,2025,0.41
BRA,2000,0.05
BRA,2001,0.05
BRA,2002,0.05
BRA,2003,0.05
BRA,2004,0.05
BRA,2005,0.05
BRA,2006,0.05
BRA,2007,0.05
BRA,2008,0.05
BRA,2009,0.05
BRA,2010,0.05
BRA,2011,0.05
BRA,2012,0.05
BRA,2013,0.05
BRA,2014,0.05
BRA,2015,0.05
BRA,2016,0.05
BRA,2017,0.05
BRA,2018,0.05
BRA,2019,0.05
BRA,2020,0.05
BRA,2021,0.05
BRA,2022,0.05
BRA,2023,0.05
BRA,2024,0.05
BRA,2025,0.05
BLZ,2000,0.63
BLZ,2001,0.63
BLZ,2002,0.63
BLZ,2003,0.63
BLZ,2004,0.63
BLZ,2005,0.63
BLZ,2006,0.63
BLZ,2007,0.63
BLZ,2008,0.63
BLZ,2009,0.63
BLZ,2010,0.63
BLZ,2011,0.63
BLZ,2012,0.63
BLZ,2013,0.63
BLZ,2014,0.63
BLZ,2015,0.63
BLZ,2016,0.63
BLZ,2017,0.63
BLZ,2018,0.63
BLZ,2019,0.63
BLZ,2020,0.63
BLZ,2021,0.63
BLZ,2022,0.63
BLZ,2023,0.63
BLZ,2024,0.63
BLZ,2025,0.63
SLB,2000,0.53
SLB,2001,0.53
SLB,2002,0.53
SLB,2003,0.53
SLB,2004,0.53
SLB,2005,0.53
SLB,2006,0.53
SLB,2007,0.53
SLB,2008,0.53
SLB,2009,0.53
SLB,2010,0.53
SLB,2011,0.53
SLB,2012,0.53
SLB,2013,0.53
SLB,2014,0.53
SLB,2015,0.53
SLB,2016,0.53
SLB,2017,0.53
SLB,2018,0.53
SLB,2019,0.53
SLB,2020,0.53
SLB,2021,0.53
SLB,2022,0.53
SLB,2023,0.53
SLB,2024,0.53
SLB,2025,0.53
BRN,2000,0.34
BRN,2001,0.34
BRN,2002,0.34
BRN,2003,0.34
BRN,2004,0.34
BRN,2005,0.34
BRN,2006,0.34
BRN,2007,0.34
BRN,2008,0.34
BRN,2009,0.34
BRN,2010,0.34
BRN,2011,0.34
BRN,2012,0.34
BRN,2013,0.34
BRN,2014,0.34
BRN,2015,0.34
BRN,2016,0.34
BRN,2017,0.34
BRN,2018,0.34
BRN,2019,0.34
BRN,2020,0.34
BRN,2021,0.34
BRN,2022,0.34
BRN,2023,0.34
BRN,2024,0.34
BRN,2025,0.34
BGR,2000,0.3
BGR,2001,0.3
BGR,2002,0.3
BGR,2003,0.3
BGR,2004,0.3
BGR,2005,0.3
BGR,2006,0.3
BGR,2007,0.3
BGR,2008,0.3
BGR,2009,0.3
BGR,2010,0.3
BGR,2011,0.3
BGR,2012,0.3
BGR,2013,0.3
BGR,2014,0.3
BGR,2015,0.3
BGR,2016,0.3
BGR,2017,0.3
BGR,2018,0.3
BGR,2019,0.3
BGR,2020,0.3
BGR,2021,0.3
BGR,2022,0.3
BGR,2023,0.3
BGR,2024,0.3
BGR,2025,0.3
MMR,2000,0.51
MMR,2001,0.51
MMR,2002,0.51
MMR,2003,0.51
MMR,2004,0.51
MMR,2005,0.51
MMR,2006,0.51
MMR,2007,0.51
MMR,2008,0.51
MMR,2009,0.51
MMR,2010,0.51
MMR,2011,0.51
MMR,2012,0.51
MMR,2013,0.51
MMR,2014,0.51
MMR,2015,0.51
MMR,2016,0.51
MMR,2017,0.51
MMR,2018,0.51
MMR,2019,0.51
MMR,2020,0.51
MMR,2021,0.51
MMR,2022,0.51
MMR,2023,0.51
MMR,2024,0.51
MMR,2025,0.51
BDI,2000,0.3
BDI,2001,0.3
BDI,2002,0.3
BDI,2003,0.3
BDI,2004,0.3
BDI,2005,0.3
BDI,2006,0.3
BDI,2007,0.3
BDI,2008,0.3
BDI,2009,0.3
BDI,2010,0.3
BDI,2011,0.3
BDI,2012,0.3
BDI,2013,0.3
BDI,2014,0.3
BDI,2015,0.3
BDI,2016,0.3
BDI,2017,0.3
BDI,2018,0.3
BDI,2019,0.3
BDI,2020,0.3
BDI,2021,0.3
BDI,2022,0.3
BDI,2023,0.3
BDI,2024,0.3
BDI,2025,0.3
BLR,2000,0.47
BLR,2001,0.47
BLR,2002,0.47
BLR,2003,0.47
BLR,2004,0.47
BLR,2005,0.47
BLR,2006,0.47
BLR,2007,0.47
BLR,2008,0.47
BLR,2009,0.47
BLR,2010,0.47
BLR,2011,0.47
BLR,2012,0.47
BLR,2013,0.47
BLR,2014,0.47
BLR,2015,0.47
BLR,2016,0.47
BLR,2017,0.47
BLR,2018,0.47
BLR,2019,0.47
BLR,2020,0.47
BLR,2021,0.47
BLR,2022,0.47
BLR,2023,0.47
BLR,2024,0.47
BLR,2025,0.47
KHM,2000,0.21
KHM,2001,0.21
KHM,2002,0.21
KHM,2003,0.21
KHM,2004,0.21
KHM,2005,0.21
KHM,2006,0.21
KHM,2007,0.21
KHM,2008,0.21
KHM,2009,0.21
KHM,2010,0.21
KHM,2011,0.21
KHM,2012,0.21
KHM,2013,0.21
KHM,2014,0.21
KHM,2015,0.21
KHM,2016,0.21
KHM,2017,0.21
KHM,2018,0.21
KHM,2019,0.21
KHM,2020,0.21
KHM,2021,0.21
KHM,2022,0.21
KHM,2023,0.21
KHM,2024,0.21
KHM,2025,0.21
CMR,2000,0.89
CMR,2001,0.89
CMR,2002,0.89
CMR,2003,0.89
CMR,2004,0.89
CMR,2005,0.89
CMR,2006,0.89
CMR,2007,0.89
CMR,2008,0.89
CMR,2009,0.89
CMR,2010,0.89
CMR,2011,0.89
CMR,2012,0.89
CMR,2013,0.89
CMR,2014,0.89
CMR,2015,0.89
CMR,2016,0.89
CMR,2017,0.89
CMR,2018,0.89
CMR,2019,0.89
