iso3,year,debt_pct_gdp,gdp_growth_pct,gdppc_2015_usd,inflation_pct,income_group
ABW,2010,,-2.73345679250639,25429.2180974853,2.07814071860787,High income
ABW,2011,,3.36923718421511,26093.0542083227,4.31629742195203,High income
ABW,2012,,-1.04079988436683,25444.7336646687,0.627471992893373,High income
ABW,2013,,6.43146080719245,26680.1411206342,-2.37206524252261,High income
ABW,2014,,1.42609864257801,26773.8226808518,0.421440918881214,High income
ABW,2015,,3.61147995361162,27458.2201537506,0.474763597342641,High income
ABW,2016,,1.23433537363427,27587.2498040483,-0.931195987079561,High income
ABW,2017,,3.49342985290626,28548.8904317739,-1.02828178762012,High income
ABW,2018,,3.21247111920076,29419.208623316,3.62604141352961,High income
ABW,2019,,1.22511225158814,29699.1805366222,4.25746204335428,High income
ABW,2020,,-23.8979898352395,22729.8897593533,,High income
ABW,2021,,14.7306159219273,26292.9179363154,,High income
ABW,2022,,10.6364309604414,29195.2670227422,,High income
ABW,2023,,7.70679839650956,31430.9353682253,,High income
ABW,2024,,6.81077669324542,33373.9174591266,,High income
AFE,2010,,5.30790438645938,1449.48915951845,5.53753791645676,Aggregates
AFE,2011,,4.07747696614018,1468.63057193646,8.97120640995788,Aggregates
AFE,2012,,1.89717291956102,1456.72281306529,9.15870843167905,Aggregates
AFE,2013,,4.35668249727492,1478.97797685759,5.74883133553454,Aggregates
AFE,2014,,3.92038970191821,1495.95557383523,5.52581923392517,Aggregates
AFE,2015,,2.93402965863687,1498.8752400759,5.09856164363687,Aggregates
AFE,2016,,2.13011703002091,1490.9075460241,6.44687722255584,Aggregates
AFE,2017,,2.67752389715308,1490.91109750422,6.22137528933118,Aggregates
AFE,2018,,2.70519413363353,1489.94213724372,4.6898064677633,Aggregates
AFE,2019,,2.03007686221603,1479.37238691603,4.10285075461156,Aggregates
AFE,2020,,-2.81757208724623,1399.39849841898,5.19162942092851,Aggregates
AFE,2021,,4.57877206871177,1425.2090572764,6.82472709282067,Aggregates
AFE,2022,,3.72271692296214,1440.43036630175,10.8834775726018,Aggregates
AFE,2023,,1.9311603523693,1431.72178996886,7.39918558080627,Aggregates
AFE,2024,,2.76383869054277,1435.35627774336,4.48978854243448,Aggregates
AFG,2010,,14.3624414710737,542.871030476037,2.17853752389419,Low income
AFG,2011,,0.426354776777345,525.42698276582,11.8041858089129,Low income
AFG,2012,,12.7522870926697,568.929021458341,6.44121280934117,Low income
AFG,2013,,5.60074465863221,580.603833333096,7.38577178397855,Low income
AFG,2014,,2.72454336219565,575.146245808546,4.67399603536345,Low income
AFG,2015,,1.45131466066431,565.569730408751,-0.661709164713742,Low income
AFG,2016,,2.26031420279821,563.872336723147,4.38389195513915,Low income
AFG,2017,,2.6470032027451,562.769574140988,4.97595150553833,Low income
AFG,2018,,1.18922812944517,553.125151688293,0.626149149168847,Low income
AFG,2019,,3.91160341625552,557.861533207459,2.30237251516834,Low income
AFG,2020,,-2.35110067203466,527.834554499306,5.60188791482224,Low income
AFG,2021,,-20.7388393676343,408.625855217403,5.13320340824963,Low income
AFG,2022,,-6.24017199240269,377.665627080705,13.7121023720065,Low income
AFG,2023,,2.26694373649188,378.06630312259,-4.64470870797775,Low income
AFG,2024,,,,-6.60118564073726,Low income
AFW,2010,,7.00073960255909,1677.95238312056,1.78484420477113,Aggregates
AFW,2011,,4.92204702375463,1711.53923110365,4.01869907534492,Aggregates
AFW,2012,,5.12970299383294,1749.98138710355,4.57837463515948,Aggregates
AFW,2013,,6.04669213138413,1805.79842409374,2.43920076104126,Aggregates
AFW,2014,,5.6915512073646,1857.17116320705,1.76843582146224,Aggregates
AFW,2015,,2.93286367242145,1860.72768628324,2.13081738058791,Aggregates
AFW,2016,,0.194316483405615,1815.17120349953,1.48741550755546,Aggregates
AFW,2017,,2.29634886599959,1808.72220111739,1.72548602374731,Aggregates
AFW,2018,,2.90466430784954,1814.69463581898,1.78404994832044,Aggregates
AFW,2019,,3.28168276850104,1829.06806387649,1.98309228487232,Aggregates
AFW,2020,,-3.73062984236253,1719.26150438049,2.49037783931949,Aggregates
AFW,2021,,2.54969083217036,1721.90947456022,3.74556782333009,Aggregates
AFW,2022,,4.47279468511532,1757.45658962159,7.94925143524016,Aggregates
AFW,2023,,3.66242752919044,1778.86434703356,5.22116801324002,Aggregates
AFW,2024,,4.5856736208091,1816.34604380299,3.60804426950566,Aggregates
AGO,2010,,5.29366572819954,3540.79159568381,14.4696564932577,Lower middle income
AGO,2011,,3.59386960240222,3528.16824373399,13.4824679218511,Lower middle income
AGO,2012,,8.50312283866612,3682.35229322763,10.2779049218839,Lower middle income
AGO,2013,,4.88306129688392,3716.29718727282,8.77781429332624,Lower middle income
AGO,2014,,4.65572356315585,3746.81619978613,7.28038730361121,Lower middle income
AGO,2015,,0.763177710914789,3641.72893919944,9.35597215533784,Lower middle income
AGO,2016,,-1.70053036291208,3454.03317187119,30.6944150806719,Lower middle income
AGO,2017,,-0.149396225571834,3328.8982124109,29.8444799015679,Lower middle income
AGO,2018,,-0.59441122698307,3196.79006983557,19.6289379701521,Lower middle income
AGO,2019,,-0.204680245744115,3083.97534427357,17.080954143438,Lower middle income
AGO,2020,,-4.04244724639663,2864.16146036893,22.271539247051,Lower middle income
AGO,2021,,2.10275251923413,2832.81777132286,25.7542948841891,Lower middle income
AGO,2022,,4.21600258475137,2860.90251922246,21.3552901320822,Lower middle income
AGO,2023,,1.26330814020108,2809.15727975557,13.6441017767715,Lower middle income
AGO,2024,,4.42390664406875,2845.47779302975,28.2404948915772,Lower middle income
ALB,2010,,2.97315442681247,3579.82413181046,3.6271009151748,Upper middle income
ALB,2011,69.1921886031503,2.46351683915714,3677.89457937717,3.42807130141503,Upper middle income
