iso3,year,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct
AFG,2003,,,1.0,,,,0.9727819226126867,,0.025426176779410652
AFG,2004,,,1.0,,0.0,,0.9574761059931542,,0.03980300856334593
AFG,2005,,,1.0,,0.004859996603322063,,,,0.04600562353336187
AFG,2006,0.0,0.0,1.0,0.0,0.3715024659428283,0.0,0.01590672007999653,0.0,0.09152073675828833
AFG,2007,0.0,0.0,1.0,0.0,0.49616356257690847,0.0,0.2083516479570401,0.0,0.1189522126308945
AFG,2008,0.0,0.0,1.0,0.0,0.4701817738282232,0.0,0.227923867341056,0.0,0.13437704275765558
AFG,2009,0.0,0.0,1.0,0.0,0.5301924284052505,0.0,0.15205144093417527,0.0,0.13643882403694116
AFG,2010,0.0,0.0,1.0,0.0,0.3175645752348023,0.0,0.40307756959628954,0.0,0.10141585767698919
AFG,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2013,0.0,0.0,1.0,0.0,0.16301950177384378,0.0,0.46255282922973806,0.0,0.07954126685130788
AFG,2014,0.5267355082881374,0.0,1.0,0.0,0.18955601034065106,0.0,0.46308876879529914,0.0,0.086974293027769
AFG,2015,0.0,0.0,1.0,0.0,0.183236552376476,0.0,0.5198557018814466,0.0,0.128173676868019
AFG,2016,0.004652859268029375,0.06543056393898898,1.0,0.02648082323872453,0.6796996680409615,0.00024887591334318344,0.004508423738579527,0.0319733668915085,0.1870054189698642
AFG,2017,0.25112290098967405,0.05492888575574479,1.0,0.02064563796152888,0.4260164224222543,0.02249317621008245,0.0021908349673978784,0.035660616518243884,0.186941525175072
AGO,2000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,2001,0.0,0.0,1.0,0.0,0.17249978246303282,0.0,0.08940412946068939,0.0,0.17833046916348572
AGO,2002,,,1.0,,0.04793917221296573,,0.05855407709941616,,0.02255524037335325
AGO,2003,,,1.0,,0.06343419543874614,,0.01402432718307632,,0.15016935231421083
AGO,2004,,,1.0,,0.04365944835973474,,0.023205960667171278,,0.0824606776507248
AGO,2005,,,1.0,,0.05765846503329488,,0.026204145319351342,,0.1334296383049078
AGO,2006,,,1.0,,0.03761639474322171,,0.023825531632630566,,0.09082890936994915
AGO,2007,,,1.0,,0.03443882241275407,,0.019338599428861004,,0.09038944855640169
AGO,2008,,,1.0,,0.02807078763091934,,0.2252650945976189,,0.10707159018328707
AGO,2009,,,1.0,,0.025273648811887272,,0.1695930022034192,,0.09437732191731026
AGO,2010,,,1.0,,0.6118237514359169,,0.1467015577512171,,0.09983750422114034
AGO,2011,,,1.0,,0.6295375029051324,,0.1288001883970578,,0.10131010304269446
AGO,2012,,,1.0,,0.6502567759553779,,0.1223434811494939,,0.12665387500621905
AGO,2013,,,1.0,,0.5750921505831168,,0.1394002136302294,,0.1393367827582734
