iso3,year,pcr_modelled_pct,pcr_pct,pcr_wpia
AFG,2010,38.65999984741211,,
AFG,2011,41.2599983215332,40.72568893432617,0.3045699894428253
AFG,2012,43.5099983215332,,
AFG,2013,45.34000015258789,,
AFG,2014,46.70000076293945,,
AFG,2015,47.63999938964844,54.48463821411133,0.574940025806427
AFG,2016,48.34000015258789,,
AFG,2017,48.84000015258789,,
AFG,2018,49.36000061035156,,
AFG,2019,49.88000106811523,,
AFG,2020,50.56000137329102,,
AFG,2021,51.45999908447266,,
AFG,2022,52.33000183105469,44.24225997924805,0.2497999966144562
AFG,2023,53.34999847412109,,
AFG,2024,54.38999938964844,,
AFG,2025,55.43999862670898,,
AGO,2010,49.97000122070313,,
AGO,2011,51.20000076293945,,
AGO,2012,52.36000061035156,,
AGO,2013,53.31999969482422,,
AGO,2014,54.16999816894531,,
AGO,2015,55.0,59.95566177368164,0.2112500071525574
AGO,2016,55.84999847412109,,
AGO,2017,56.70000076293945,,
AGO,2018,57.59000015258789,,
AGO,2019,58.52999877929688,,
AGO,2020,59.56999969482422,,
AGO,2021,60.72000122070313,,
AGO,2022,61.91999816894531,,
AGO,2023,63.02999877929688,55.25038146972656,0.1371099948883057
AGO,2024,64.0999984741211,,
AGO,2025,65.19000244140625,,
ALB,2010,97.95999908447266,,
ALB,2011,97.95999908447266,,
ALB,2012,97.9000015258789,,
ALB,2013,97.83000183105469,,
ALB,2014,97.70999908447266,,
ALB,2015,97.56999969482422,,
ALB,2016,97.43000030517578,,
ALB,2017,97.33999633789062,95.4015884399414,0.9565200209617615
ALB,2018,97.29000091552734,,
ALB,2019,97.2699966430664,,
ALB,2020,97.25,,
ALB,2021,97.2699966430664,,
ALB,2022,97.33000183105469,,
ALB,2023,97.37000274658203,,
ALB,2024,97.4000015258789,,
ALB,2025,97.43000030517578,,
ARG,2010,95.37999725341797,92.67375183105469,
ARG,2011,95.52999877929688,,
ARG,2012,95.66000366210938,,
ARG,2013,95.7699966430664,,
ARG,2014,95.87999725341797,,
ARG,2015,96.0,,
ARG,2016,96.08000183105469,,
ARG,2017,96.12999725341797,,
ARG,2018,96.19000244140625,,
ARG,2019,96.26000213623047,,
ARG,2020,96.33999633789062,,
ARG,2021,96.4000015258789,,
ARG,2022,96.4800033569336,,
ARG,2023,96.54000091552734,,
ARG,2024,96.5999984741211,,
ARG,2025,96.66999816894531,,
ARM,2010,99.37000274658203,,
ARM,2011,99.37999725341797,99.87503814697266,0.9948300123214722
ARM,2012,99.37999725341797,,
