iso3,year,lays,lays_male,lays_female
ECU,2018,8.7557085,8.601527,8.90989
ECU,2020,8.698286249999999,8.5295315,8.867041
EGY,2010,6.48651025,6.389821,6.5831995
EGY,2017,6.34,6.07,6.61
EGY,2018,6.5063235,6.240207,6.77244
EGY,2020,6.531636,6.254447,6.808825
SLV,2017,6.55,6.64,6.46
SLV,2018,7.6396125,7.587722,7.691503
SLV,2020,7.6414758,7.525254,7.7576976
EST,2010,11.247658000000001,11.053801,11.441515
EST,2017,11.36,11.23,11.49
EST,2018,11.696003999999999,11.589004,11.803004
EST,2020,11.7210805,11.585101,11.85706
SWZ,2010,4.05207125,3.9148855,4.189257
ETH,2017,4.51,4.72,4.3
ETH,2018,4.4882987,4.6978164,4.278781
ETH,2020,4.34815815,4.5540633,4.142253
FJI,2020,6.9645413000000005,6.615894,7.3131886
FIN,2010,12.209929500000001,11.948909,12.47095
FIN,2017,12.055,11.82,12.29
FIN,2018,12.0534675,11.829984,12.276951
FIN,2020,11.744425,11.441726,12.047124
FRA,2010,11.244545500000001,11.156048,11.333043
FRA,2018,11.1726685,11.104252,11.241085
FRA,2020,11.270234,11.182531,11.357937
GAB,2017,6.01,5.81,6.21
GAB,2018,6.00843375,5.8085985,6.208269
GAB,2020,6.00843375,5.8085985,6.208269
GMB,2010,4.26744385,4.2702847,4.264603
GMB,2017,,,5.04
GMB,2018,5.00290165,4.8198013,5.186002
GMB,2020,5.370305,5.187218,5.553392
GEO,2010,7.9060125,7.419354,8.392671
GEO,2017,8.895,8.57,9.22
GEO,2018,9.17173275,8.853995,9.4894705
GEO,2020,8.2918602,7.9884424,8.595278
DEU,2010,11.264149499999998,11.184517,11.343782
DEU,2017,11.695,11.73,11.66
DEU,2018,11.265202,11.244372,11.286032
DEU,2020,11.03880225,10.9579115,11.119693
GHA,2017,5.705,5.69,5.72
GHA,2018,5.82711005,5.8180165,5.8362036
GHA,2020,5.959297,5.92867,5.989924
GRC,2010,10.462781249999999,10.3180895,10.607473
GRC,2017,9.675,9.53,9.82
GRC,2018,10.080283000000001,9.917011,10.243555
GRC,2020,9.967445999999999,9.778651,10.156241
GRD,2018,7.7626425,7.237853,8.287432
GRD,2020,8.275841,7.873889,8.677793
GTM,2010,6.08458715,6.1628103,6.006364
GTM,2017,6.285,6.29,6.28
GTM,2018,6.2009711,6.1844916,6.2174506
GTM,2020,6.29812465,6.266288,6.3299613
GIN,2017,4.535,5.15,3.92
GIN,2018,4.60782995,5.2670813,3.9485786
GIN,2020,4.56470895,5.2123237,3.9170942
GUY,2017,6.715,6.33,7.1
GUY,2018,6.77935725,6.5427475,7.015967
GUY,2020,6.77935725,6.5427475,7.015967
HTI,2017,6.3100000000000005,6.11,6.51
HTI,2018,6.1569116,6.0439687,6.2698545
HTI,2020,6.1569116,6.0439687,6.2698545
HND,2017,6.385,6.25,6.52
HND,2018,6.135908349999999,6.0042,6.2676167
HND,2020,6.135908349999999,6.0042,6.2676167
HKG,2010,11.5640845,11.409092,11.719077
HKG,2017,12.075,12.03,12.12
HKG,2018,12.058171999999999,11.778273,12.338071
HKG,2020,11.908607,11.513885,12.303329
HUN,2010,10.68685925,10.551533,10.8221855
HUN,2017,10.739999999999998,10.69,10.79
HUN,2018,10.692799,10.658174,10.727424
HUN,2020,10.27136,10.230118,10.312602
ISL,2010,10.9659715,10.80286,11.129083
ISL,2017,10.655,10.45,10.86
ISL,2018,10.702673,10.471994,10.933352
ISL,2020,10.719688,10.438991,11.000385
IND,2017,5.77,5.6,5.94
IND,2018,6.927294,6.872928,6.98166
IND,2020,7.104659549999999,7.0506644,7.1586547
IDN,2010,7.231467,7.048773,7.414161
IDN,2017,7.9399999999999995,7.78,8.1
IDN,2018,7.9391397999999995,7.7798066,8.098473
IDN,2020,7.8289382000000005,7.6136394,8.044237
IRN,2010,7.9507651500000005,7.9096837,7.9918466
IRN,2017,8.09,7.86,8.32
IRN,2018,8.207214,7.980246,8.434182
IRN,2020,8.207214,7.980246,8.434182
IRQ,2017,4.02,3.8,4.24
IRQ,2018,4.02206885,3.8014667,4.242671
IRQ,2020,4.0758764,3.7860382,4.3657146
IRL,2010,11.302776,11.064459,11.541093
IRL,2018,11.958963,11.94794,11.969986
IRL,2020,11.594968,11.510202,11.679734
ISR,2010,10.416691,10.167402,10.66598
ISR,2018,11.0903645,10.917501,11.263228
ISR,2020,10.577109499999999,10.182295,10.971924
ITA,2010,10.9334135,10.796503,11.070324
ITA,2017,11.165,11.22,11.11
ITA,2018,10.8932355,10.889513,10.896958
ITA,2020,10.4548305,10.384997,10.524664
JAM,2017,7.265000000000001,6.86,7.67
JAM,2018,7.19488855,6.7486405,7.6411366
JAM,2020,7.078689150000001,6.6736493,7.483729
JOR,2010,7.892709,7.436154,8.349264
JOR,2017,7.62,7.16,8.08
JOR,2018,7.5514867,7.0838294,8.019144
JOR,2020,7.671304000000001,7.24082,8.101788
KAZ,2010,8.986349,8.705574,9.267124
KAZ,2017,11.475,11.29,11.66
KAZ,2018,11.80414,11.591875,12.016405
KAZ,2020,9.132095,8.932389,9.331801
KIR,2018,6.8899721,6.32035,7.4595942
KIR,2020,7.39979115,6.7366433,8.062939
OWID_KOS,2017,7.705,7.64,7.77
OWID_KOS,2018,7.91722015,7.7653403,8.0691
OWID_KOS,2020,7.86138865,7.7558703,7.966907
KWT,2010,7.69951015,7.1446733,8.254347
KWT,2017,7.640000000000001,7.14,8.14
KWT,2018,7.440208500000001,6.991532,7.888885
KWT,2020,7.4030392,6.8457527,7.9603257
KGZ,2017,8.445,8.29,8.6
KGZ,2018,8.642967500000001,8.495238,8.790697
KGZ,2020,8.6570035,8.527624,8.786383
LAO,2017,6.385,6.34,6.43
LAO,2018,6.307509250000001,6.268232,6.3467865
LAO,2020,6.25066065,6.202033,6.2992883
LVA,2010,10.7142685,10.47768,10.950857
LVA,2017,11.27,11.05,11.49
LVA,2018,11.5591115,11.284872,11.833351
LVA,2020,10.979861249999999,10.7763815,11.183341
LBN,2017,6.83,6.95,6.71
LSO,2010,5.3770883000000005,5.112338,5.6418386
LBR,2017,2.34,2.35,2.33
LBR,2018,2.2049721499999997,2.225946,2.1839983
LBR,2020,2.2049721499999997,2.225946,2.1839983
LTU,2010,10.960991,10.596064,11.325918
LTU,2017,11.175,11.0,11.35
LTU,2018,11.3706055,11.177837,11.563374
LTU,2020,10.981037,10.761667,11.200407
LUX,2010,10.188041,10.050525,10.325557
LUX,2017,9.915,9.78,10.05
LUX,2018,9.931151,9.886119,9.976183
LUX,2020,9.7984465,9.671764,9.925129
MAC,2010,9.1842535,8.94143,9.427077
MAC,2017,11.015,10.71,11.32
MAC,2018,11.0811825,10.825909,11.336456
MAC,2020,11.581614,11.378083,11.785145
MDG,2010,5.1185436499999994,5.089295,5.1477923
MDG,2017,4.1899999999999995,4.12,4.26
MDG,2018,4.71432425,4.583314,4.8453345
MDG,2020,4.71432425,4.583314,4.8453345
MWI,2010,5.13525825,5.109666,5.1608505
MYS,2010,8.290606499999999,7.987458,8.593755
MYS,2017,9.114999999999998,8.86,9.37
MYS,2018,9.3430395,9.084246,9.601833
MYS,2020,8.892835,8.606156,9.179514
MLI,2017,2.735,2.96,2.51
MLI,2018,2.85756985,3.0487967,2.666343
MLI,2020,2.57595335,2.741632,2.4102747
MLT,2010,9.709873,9.229469,10.190277
MLT,2017,10.095,9.71,10.48
MLT,2018,10.200330000000001,9.966374,10.434286
MLT,2020,10.2093815,9.847692,10.571071
MHL,2018,5.100649000000001,4.879417,5.321881
MHL,2020,5.6726054999999995,5.367872,5.977339
MRT,2017,3.425,3.32,3.53
MRT,2018,4.025301,3.895319,4.155283
MRT,2020,4.2312879500000005,4.0991554,4.3634205
MUS,2010,9.05670675,9.067949,9.0454645
MEX,2010,8.505245250000002,8.4049425,8.605548
MEX,2017,8.64,8.53,8.75
MEX,2018,8.81458025,8.712051,8.9171095
MEX,2020,8.8272395,8.760542,8.893937
FSM,2018,6.200378199999999,5.971881,6.4288754
FSM,2020,7.24583675,6.98171,7.5099635
MDA,2010,7.91369785,7.6833687,8.144027
MDA,2017,8.21,8.02,8.4
MDA,2018,8.251997500000002,8.044892,8.459103
MDA,2020,8.293861,8.117129,8.470593
MNG,2018,9.194571499999999,9.177845,9.211298
MNG,2020,9.154745,9.134093,9.175397
MNE,2010,8.03295275,7.7620025,8.303903
MNE,2018,8.7208875,8.557821,8.883954
MNE,2020,8.90691875,8.9066725,8.907165
MAR,2010,5.750748700000001,5.864474,5.6370234
MAR,2017,6.235,6.07,6.4
MAR,2018,6.06001865,5.857722,6.2623153
MAR,2020,6.32814095,6.1504507,6.5058312
MMR,2017,6.699999999999999,6.51,6.89
MMR,2018,6.67618015,6.567884,6.7844763
MMR,2020,6.79098795,6.6502075,6.9317684
NAM,2010,5.4078691,5.2954082,5.52033
NRU,2020,6.45320655,6.0926795,6.8137336
NLD,2010,11.740341,11.695554,11.785128
NLD,2017,11.71,11.6,11.82
NLD,2018,11.759394,11.665375,11.853413
NLD,2020,11.5388105,11.36185,11.715771
NZL,2010,11.526672999999999,11.295193,11.758153
NZL,2017,11.26,11.09,11.43
NZL,2018,11.335708,11.173541,11.497875
NZL,2020,11.3928565,11.26091,11.524803
NIC,2017,7.265000000000001,7.05,7.48
NIC,2018,6.75272985,6.541458,6.9640017
NIC,2020,6.75272985,6.541458,6.9640017
NER,2017,2.605,2.86,2.35
NER,2018,2.68726485,2.929186,2.4453437
NER,2020,2.677639,2.9168415,2.4384365
NGA,2017,4.255,4.58,3.93
NGA,2018,5.036944650000001,5.090015,4.9838743
NGA,2020,5.036944650000001,5.090015,4.9838743
MKD,2010,7.05341085,6.9874797,7.119342
MKD,2017,6.83,6.66,7.0
MKD,2018,6.8234592,6.648614,6.9983044
MKD,2020,7.30505065,7.0971885,7.5129128
NOR,2010,11.305198,11.135888,11.474508
NOR,2017,11.239999999999998,11.11,11.37
NOR,2018,11.2110965,11.092267,11.329926
NOR,2020,11.2366285,10.996802,11.476455
OMN,2010,7.4885415,7.021781,7.955302
OMN,2017,8.915,8.4,9.43
OMN,2018,8.74900675,8.200181,9.2978325
OMN,2020,8.664266999999999,8.120694,9.20784
PAK,2017,4.765000000000001,5.11,4.42
PAK,2018,5.06260435,5.359011,4.7661977
PAK,2020,5.075871299999999,5.374705,4.7770376
PLW,2018,8.280126,7.961176,8.599076
PLW,2020,8.6983255,8.367962,9.028689
PSE,2017,7.505000000000001,7.15,7.86
PSE,2018,7.89160265,7.4236693,8.359536
PSE,2020,8.04986925,7.5965905,8.503148
PAN,2010,6.91294265,6.7410603,7.084825
PAN,2017,7.1850000000000005,7.17,7.2
PAN,2018,6.81154705,6.7955804,6.8275137
PAN,2020,6.48258255,6.3847594,6.5804057
PNG,2017,4.7,4.91,4.49
PNG,2018,5.8965372,6.132684,5.6603904
PNG,2020,5.9778903,6.1978006,5.75798
PRY,2010,6.96174195,6.8342915,7.0891924
PRY,2017,7.105,7.19,7.02
PRY,2018,6.9765601,7.0519657,6.9011545
PRY,2020,6.9765601,7.0519657,6.9011545
PER,2010,7.722403,7.602899,7.841907
PER,2017,8.280000000000001,8.26,8.3
PER,2018,8.448194,8.551319,8.345069
PER,2020,8.6322615,8.788629,8.475894
PHL,2017,8.385,8.04,8.73
PHL,2018,8.357043,7.983165,8.730921
PHL,2020,7.487438750000001,7.224681,7.7501965
POL,2017,11.345,11.21,11.48
POL,2018,11.5199985,11.416019,11.623978
POL,2020,11.375694,11.226308,11.52508
PRT,2010,11.0010785,10.905258,11.096899
PRT,2017,11.46,11.55,11.37
PRT,2018,11.562257500000001,11.649881,11.474634
PRT,2020,11.30934875,11.331776,11.2869215
QAT,2010,7.972252,7.655084,8.28942
QAT,2017,8.55,7.95,9.15
QAT,2018,8.7419695,8.364347,9.119592
QAT,2020,8.7918295,8.255076,9.328583
ROU,2010,8.933599000000001,8.740379,9.126819
ROU,2017,8.809999999999999,8.7,8.92
ROU,2018,8.615112,8.486899,8.743325
ROU,2020,8.373893500000001,8.225996,8.521791
RUS,2017,11.9,11.82,11.98
RUS,2018,11.7761435,11.721124,11.831163
RUS,2020,10.8973285,10.824352,10.970305
RWA,2017,3.755,3.57,3.94
RWA,2018,3.8909217500000004,3.7042692,4.0775743
RWA,2020,3.92978,3.7331643,4.1263957
KNA,2018,8.177626,8.208492,8.14676
KNA,2020,8.4832385,8.570809,8.395668
LCA,2018,8.20446115,7.8458023,8.56312
LCA,2020,8.483006,8.198058,8.767954
VCT,2018,7.803614249999999,7.4932265,8.114002
VCT,2020,7.720886,7.26052,8.181252
WSM,2018,6.65970075,6.301759,7.0176425
WSM,2020,7.266186149999999,6.72446,7.8079123
SAU,2010,7.4352485999999995,7.2551126,7.6153846
SAU,2017,8.11,7.65,8.57
SAU,2018,8.0188872,7.4725404,8.565234
SAU,2020,7.8982253,7.5819106,8.21454
SEN,2010,4.51651515,4.472821,4.5602093
SEN,2017,4.79,4.73,4.85
