COUNTRY,COUNTRY_label,TIME_PERIOD,"General public services, Transactions","Defence, Transactions","Public order and safety, Transactions","Economic affairs, Transactions","Environmental protection, Transactions","Housing and community amenities, Transactions","Health, Transactions","Recreation, culture and religion, Transactions","Education, Transactions","Social protection, Transactions",sector_sum_before_norm,sector_sum_pct
ALB,Albania,2024,18.9369122708003,2.948374743504291,6.584816767078857,12.02561264534196,0.945747942866681,6.14215964205278,9.578894825555448,1.562185069500532,10.09729424865754,31.178001844641614,100.0,100.0
AND,"Andorra, Principality of",2018,10.466710990402648,0.0,7.992626162189051,13.607366749273957,3.800224680178557,0.8483725525627343,22.155744498852815,5.799180065796823,9.975599698906617,25.354174601836803,99.99999999999994,100.00000000000001
AND,"Andorra, Principality of",2019,12.158754447179236,0.0,7.61384241648293,13.859382670477839,3.403833030091001,0.7817896648354601,21.680476380217183,5.535423870374799,9.666354660483597,25.300142859857957,100.00000000000003,99.99999999999999
AND,"Andorra, Principality of",2020,10.07865633769802,0.0,6.4449778688399935,15.061999907312511,3.0615895235630024,0.9028721635627122,22.796630540657954,4.857260606574214,9.399712100286893,27.39630095150469,100.00000000000011,99.99999999999999
AND,"Andorra, Principality of",2021,10.151144243091553,0.0,6.108437379010233,13.518194540795353,3.0142690965638934,0.8866960573883099,23.942403718019627,5.233702715354925,9.366763464633422,27.77838878514268,100.00000000000006,100.0
AND,"Andorra, Principality of",2022,10.600422166399637,0.0,6.544671962825712,12.399925799462507,3.261292723524948,0.7800567704804916,23.719005538247753,6.211890762245799,8.483500899400878,27.999233377412274,99.99999999999994,100.0
AND,"Andorra, Principality of",2023,10.371745392646346,0.0,6.11357631541673,13.931133179053035,3.071660182642399,0.9244341221730542,22.63033993892997,5.442827336476746,8.20708149575221,29.307202036909512,100.00000000000003,100.0
AND,"Andorra, Principality of",2024,9.515298129232736,0.0,6.121995835993228,13.748223753422176,2.8471939614415174,0.8308090295518242,23.11195769544542,5.3209657445263385,7.753830894828477,30.749724955558293,99.99999999999996,100.00000000000001
ARE,United Arab Emirates,2024,25.32294793608848,6.150908639537137,15.318823630646147,11.266030214222871,2.95139044447678,6.68224230869559,12.693143931714982,4.386281570957363,6.220434270380182,9.00779705328048,100.00000000000007,100.00000000000003
ARG,Argentina,2016,42.55270336012925,2.083554838570419,5.849787987640023,23.799318516772882,0.31480510373258447,2.030502366148286,9.152129768202608,0.23909683232767812,6.846975221815846,7.131126004660443,99.99999999999999,100.00000000000003
ARG,Argentina,2017,44.27611669784313,2.6020340446266794,6.248644580353761,18.603012671486223,0.6627772147724915,1.8755217533111241,9.892785106994019,0.24020398687192446,7.683218569813019,7.915685373927649,99.99999999999999,100.0
ARG,Argentina,2018,44.47973869091457,2.438721836942382,6.300220867287837,19.44768439183388,0.6133338227143569,2.176663846872108,9.848645285922373,0.2723911642003124,7.616208035659007,6.806392057653171,100.0,100.0
ARG,Argentina,2019,50.14015482854084,2.067602032281104,5.785038849149106,17.482651892931166,0.6822386175162454,1.3815571252247798,9.808110806597803,0.15465448508750418,6.377867896902675,6.120123465768765,100.00000000000001,99.99999999999997
ARG,Argentina,2020,49.7769184260004,1.8624286831026597,5.079720686101763,16.788344720674377,0.860440076232785,1.2931733935330447,10.683150797671978,0.24768984808593866,5.823959962607212,7.58417340598983,100.00000000000001,99.99999999999999
ARG,Argentina,2021,35.03274731365838,1.9856254985361828,5.441369594921182,24.913843650073076,1.0762535305901568,2.8814244684193056,11.686352647262508,0.3663736361127705,6.830567022458904,9.785442637967536,100.00000000000001,100.0
ARG,Argentina,2022,36.240306786960296,2.0343765121774764,5.970498855399089,22.809863742526236,0.9105371541651707,2.667638013899501,10.433724590754071,0.30968064754907815,7.608707604118618,11.014666092450462,99.9999999999997,100.0
ARG,Argentina,2023,32.61675046548884,2.261554381692957,6.362513416474741,21.174313514050592,0.8200977484838208,3.0273151011989055,12.32472713007005,0.3188991471900856,9.006427602830462,12.087401492519549,100.00000000000009,99.99999999999999
ARG,Argentina,2024,30.741990979014883,3.1325575444040075,8.170665061569261,21.01529685883258,0.40851004727096124,0.9292538935162388,17.213328178996505,0.2492548439313201,8.095088062746116,10.04405452971811,100.00000000000009,99.99999999999999
ARM,"Armenia, Republic of",2016,20.15968611808879,15.58829748823316,8.115211287057551,9.044907172909985,0.3077606866929851,1.7696528223557817,7.3460710885266085,1.836226486522648,8.447907228353733,27.384279621258763,100.0,100.0
ARM,"Armenia, Republic of",2017,18.99610835953072,19.20145725185813,7.991590725620455,7.733965614505419,1.1853447977876785,1.3985994990151243,5.525664347353699,2.415861482277728,8.891125987973318,26.66028193407773,100.0000000000002,100.00000000000001
ARM,"Armenia, Republic of",2018,20.02357769279058,15.79418416667785,8.153424972185322,8.662913519176275,1.51655339900731,1.438636882505158,5.442910749379445,2.41052840923008,8.988577025658119,27.568693183389858,100.0,99.99999999999999
ARM,"Armenia, Republic of",2019,17.68934973488805,18.7665691322799,8.540999773038015,7.483583833802861,1.318739728833034,1.7572650740719258,5.949516225116883,2.436734723740861,10.00509266019051,26.05214911403796,100.0,100.0
ARM,"Armenia, Republic of",2020,15.903879627161253,20.150915740785244,7.868948569066571,7.444387286991468,1.1007959635091102,1.1631261459162832,7.645138818888688,1.8845500015392913,9.572379842373714,27.26587800376839,99.99999999999999,100.00000000000001
ARM,"Armenia, Republic of",2021,16.80573832945601,16.41792342958578,7.819639913951672,8.648096170880446,1.219066510151062,1.261273508853486,7.815040443077616,2.013499621451921,9.66730410333758,28.33241796925443,100.0,100.0
ARM,"Armenia, Republic of",2022,15.754802939412512,21.054043752080542,8.598038491638217,9.3545425413274,1.3117810011056992,1.3931753304009022,6.208679376187998,2.4601817363295746,9.702664115888814,24.162090715628352,99.99999999999999,100.0
ARM,"Armenia, Republic of",2023,17.398340273392478,20.353570752694626,7.967913384308378,9.75201575954919,1.3153023829327515,1.5734768474825425,5.479447374111782,2.342851583256915,9.96188573756074,23.855195904710627,99.99999999999997,100.00000000000001
ARM,"Armenia, Republic of",2024,19.80330613985477,18.42600958416049,7.62016076127244,8.51993358964981,1.284751481324366,1.417530703917032,5.138482581218804,2.068106911575156,10.51869586351062,25.203022383516526,100.0,100.0
AUS,Australia,2016,11.67567759547841,5.108865688460255,4.7982590530372144,10.59194456866201,2.112577147165232,1.330571667960861,19.09956363319362,2.2817641294538724,14.89055313488301,28.110223381705524,99.99999999999991,100.0
